height,lat,lon,name,siteID
0.0,-37.5258858363,177.19139904,White Island Level A,WI100
2.843,-37.5250484154,177.189900538,White Island Level B,WI101
5.777,-37.5236877091,177.188405495,White Island Level C,WI102
10.429,-37.5235240259,177.187954281,White Island Level D3,WI103-3
10.746,-37.5234179028,177.187653647,White Island Level E2,WI104-2
8.675,-37.5224479753,177.187540411,White Island Level F,WI105
14.387,-37.521569723,177.187387232,White Island Level G,WI106
10.311,-37.5208746255,177.187890223,White Island Level H2,WI107-2
8.55,-37.5216247914,177.18906644,White Island Level I2,WI108-2
8.06,-37.5228818864,177.189706065,White Island Level J2,WI109-2
3.63,-37.523311773,177.192222572,White Island Level K,WI110
0.853,-37.524695487,177.192609196,White Island Level L,WI111
16.97,-37.5231097841,177.186718377,White Island Level M3,WI112-3
15.215,-37.5230168539,177.186792225,White Island Level N,WI113
18.53,-37.522662703,177.186613016,White Island Level O2,WI114-2
18.88,-37.5224079722,177.186428285,White Island Level P2,WI115-2
21.917,-37.5215648956,177.186786763,White Island Level U3,WI116-3
17.393,-37.521747612,177.186480346,White Island Level V2,WI117-2
14.251,-37.5213055748,177.187213275,White Island Level W,WI118
23.804,-37.5208040492,177.186142183,White Island Level Z2,WI119-3
21.088,-37.5210181785,177.186449106,White Island Level AA2,WI120-2
19.626,-37.5211339384,177.186976774,White Island Level AB3,WI121-3
23.191,-37.5204243819,177.186652263,White Island Level AC2,WI122-2
